ID,duration,wav,wav_format,wav_opts
noise-free-sound-0018_18,14.5763125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0018.wav,wav,
noise-free-sound-0019_19,11.55775,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0019.wav,wav,
noise-free-sound-0020_20,60.18575,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0020.wav,wav,
noise-free-sound-0021_21,18.0453125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0021.wav,wav,
noise-free-sound-0022_22,24.832,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0022.wav,wav,
noise-free-sound-0023_23,11.24,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0023.wav,wav,
noise-free-sound-0024_24,19.7790625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0024.wav,wav,
noise-free-sound-0025_25,2.3466875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0025.wav,wav,
noise-free-sound-0026_26,3.7973125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0026.wav,wav,
noise-free-sound-0027_27,23.04,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0027.wav,wav,
noise-free-sound-0028_28,19.6179375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0028.wav,wav,
noise-free-sound-0029_29,8.90775,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0029.wav,wav,
noise-free-sound-0030_30,73.01225,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0030.wav,wav,
noise-free-sound-0031_31,35.4743125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0031.wav,wav,
noise-free-sound-0032_32,61.42,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0032.wav,wav,
noise-free-sound-0033_33,5.5263125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0033.wav,wav,
noise-free-sound-0034_34,20.689,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0034.wav,wav,
noise-free-sound-0035_35,31.9333125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0035.wav,wav,
noise-free-sound-0036_36,4.57,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0036.wav,wav,
noise-free-sound-0037_37,0.94,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0037.wav,wav,
noise-free-sound-0038_38,0.9133125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0038.wav,wav,
noise-free-sound-0039_39,3.4466875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0039.wav,wav,
noise-free-sound-0040_40,16.73,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0040.wav,wav,
noise-free-sound-0041_41,57.782875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0041.wav,wav,
noise-free-sound-0042_42,319.5559375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0042.wav,wav,
noise-free-sound-0043_43,1.5325,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0043.wav,wav,
noise-free-sound-0044_44,4.5975625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0044.wav,wav,
noise-free-sound-0045_45,4.644,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0045.wav,wav,
noise-free-sound-0046_46,4.62075,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0046.wav,wav,
noise-free-sound-0047_47,5.2966875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0047.wav,wav,
noise-free-sound-0048_48,494.6599375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0048.wav,wav,
noise-free-sound-0049_49,3.4666875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0049.wav,wav,
noise-free-sound-0050_50,4.133125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0050.wav,wav,
noise-free-sound-0051_51,6.52,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0051.wav,wav,
noise-free-sound-0052_52,5.6641875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0052.wav,wav,
noise-free-sound-0053_53,5.2719375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0053.wav,wav,
noise-free-sound-0054_54,10.053375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0054.wav,wav,
noise-free-sound-0055_55,40.09775,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0055.wav,wav,
noise-free-sound-0056_56,9.74275,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0056.wav,wav,
noise-free-sound-0057_57,8.1304375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0057.wav,wav,
noise-free-sound-0058_58,2.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0058.wav,wav,
noise-free-sound-0059_59,30.4428125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0059.wav,wav,
noise-free-sound-0060_60,1.044875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0060.wav,wav,
noise-free-sound-0061_61,11.0498125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0061.wav,wav,
noise-free-sound-0062_62,6.0666875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0062.wav,wav,
noise-free-sound-0063_63,6.2666875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0063.wav,wav,
noise-free-sound-0064_64,100.1333125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0064.wav,wav,
noise-free-sound-0065_65,6.9753125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0065.wav,wav,
noise-free-sound-0066_66,60.9436875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0066.wav,wav,
noise-free-sound-0067_67,39.889,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0067.wav,wav,
noise-free-sound-0068_68,20.075,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0068.wav,wav,
noise-free-sound-0069_69,2.5714375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0069.wav,wav,
noise-free-sound-0070_70,17.98025,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0070.wav,wav,
noise-free-sound-0071_71,9.3919375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0071.wav,wav,
noise-free-sound-0072_72,26.6225625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0072.wav,wav,
noise-free-sound-0073_73,124.5685625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0073.wav,wav,
noise-free-sound-0074_74,17.24,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0074.wav,wav,
noise-free-sound-0075_75,20.31125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0075.wav,wav,
noise-free-sound-0076_76,80.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0076.wav,wav,
noise-free-sound-0077_77,11.7233125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0077.wav,wav,
noise-free-sound-0078_78,10.370625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0078.wav,wav,
noise-free-sound-0079_79,6.0005625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0079.wav,wav,
noise-free-sound-0080_80,30.374625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0080.wav,wav,
noise-free-sound-0081_81,21.5824375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0081.wav,wav,
noise-free-sound-0082_82,20.20375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0082.wav,wav,
noise-free-sound-0083_83,0.59125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0083.wav,wav,
noise-free-sound-0084_84,19.4194375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0084.wav,wav,
noise-free-sound-0085_85,4.671375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0085.wav,wav,
noise-free-sound-0086_86,51.685,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0086.wav,wav,
noise-free-sound-0087_87,2.8,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0087.wav,wav,
noise-free-sound-0088_88,44.8666875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0088.wav,wav,
noise-free-sound-0089_89,13.871,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0089.wav,wav,
noise-free-sound-0090_90,5.8441875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0090.wav,wav,
noise-free-sound-0091_91,5.062125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0091.wav,wav,
noise-free-sound-0092_92,15.079625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0092.wav,wav,
noise-free-sound-0093_93,5.317375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0093.wav,wav,
noise-free-sound-0094_94,5.5898125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0094.wav,wav,
noise-free-sound-0095_95,4.068375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0095.wav,wav,
noise-free-sound-0096_96,7.7841875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0096.wav,wav,
noise-free-sound-0097_97,2.7369375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0097.wav,wav,
noise-free-sound-0098_98,2.766,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0098.wav,wav,
noise-free-sound-0099_99,7.4946875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0099.wav,wav,
noise-free-sound-0100_100,7.323125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0100.wav,wav,
noise-free-sound-0101_101,112.90125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0101.wav,wav,
noise-free-sound-0102_102,143.62125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0102.wav,wav,
noise-free-sound-0103_103,5.2381875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0103.wav,wav,
noise-free-sound-0104_104,15.888,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0104.wav,wav,
noise-free-sound-0105_105,306.4163125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0105.wav,wav,
noise-free-sound-0106_106,153.952,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0106.wav,wav,
noise-free-sound-0107_107,11.766,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0107.wav,wav,
noise-free-sound-0108_108,19.3963125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0108.wav,wav,
noise-free-sound-0109_109,37.101875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0109.wav,wav,
noise-free-sound-0110_110,40.8931875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0110.wav,wav,
noise-free-sound-0111_111,16.4451875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0111.wav,wav,
noise-free-sound-0112_112,1.0144375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0112.wav,wav,
noise-free-sound-0113_113,5.8461875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0113.wav,wav,
noise-free-sound-0114_114,99.9298125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0114.wav,wav,
noise-free-sound-0115_115,2.577125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0115.wav,wav,
noise-free-sound-0116_116,8.82075,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0116.wav,wav,
noise-free-sound-0117_117,33.6573125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0117.wav,wav,
noise-free-sound-0118_118,17.41,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0118.wav,wav,
noise-free-sound-0119_119,70.728,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0119.wav,wav,
noise-free-sound-0120_120,18.4344375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0120.wav,wav,
noise-free-sound-0121_121,44.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0121.wav,wav,
noise-free-sound-0122_122,8.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0122.wav,wav,
noise-free-sound-0123_123,7.5,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0123.wav,wav,
noise-free-sound-0124_124,5.0,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0124.wav,wav,
noise-free-sound-0125_125,1.125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0125.wav,wav,
noise-free-sound-0126_126,19.7823125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0126.wav,wav,
noise-free-sound-0127_127,2.448,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0127.wav,wav,
noise-free-sound-0128_128,4.056,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0128.wav,wav,
noise-free-sound-0129_129,8.2939375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0129.wav,wav,
noise-free-sound-0130_130,38.8701875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0130.wav,wav,
noise-free-sound-0131_131,55.597375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0131.wav,wav,
noise-free-sound-0132_132,0.7158125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0132.wav,wav,
noise-free-sound-0133_133,0.5209375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0133.wav,wav,
noise-free-sound-0134_134,2.513375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0134.wav,wav,
noise-free-sound-0135_135,3.0045625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0135.wav,wav,
noise-free-sound-0136_136,0.625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0136.wav,wav,
noise-free-sound-0137_137,113.25,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0137.wav,wav,
noise-free-sound-0138_138,3.25,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0138.wav,wav,
noise-free-sound-0139_139,15.5146875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0139.wav,wav,
noise-free-sound-0140_140,24.77475,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0140.wav,wav,
noise-free-sound-0141_141,135.0720625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0141.wav,wav,
noise-free-sound-0142_142,38.99975,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0142.wav,wav,
noise-free-sound-0143_143,13.0430625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0143.wav,wav,
noise-free-sound-0144_144,25.54775,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0144.wav,wav,
noise-free-sound-0145_145,2.9121875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0145.wav,wav,
noise-free-sound-0146_146,2.0775,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0146.wav,wav,
noise-free-sound-0147_147,8.6333125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0147.wav,wav,
noise-free-sound-0148_148,2.214875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0148.wav,wav,
noise-free-sound-0149_149,1.7618125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0149.wav,wav,
noise-free-sound-0150_150,0.4504375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0150.wav,wav,
noise-free-sound-0151_151,53.76,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0151.wav,wav,
noise-free-sound-0152_152,97.156,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0152.wav,wav,
noise-free-sound-0153_153,72.1493125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0153.wav,wav,
noise-free-sound-0154_154,62.464,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0154.wav,wav,
noise-free-sound-0155_155,72.6613125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0155.wav,wav,
noise-free-sound-0156_156,90.197375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0156.wav,wav,
noise-free-sound-0157_157,3.0933125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0157.wav,wav,
noise-free-sound-0158_158,64.884,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0158.wav,wav,
noise-free-sound-0159_159,5.216,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0159.wav,wav,
noise-free-sound-0160_160,34.325375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0160.wav,wav,
noise-free-sound-0161_161,76.476,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0161.wav,wav,
noise-free-sound-0162_162,14.9333125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0162.wav,wav,
noise-free-sound-0163_163,0.3626875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0163.wav,wav,
noise-free-sound-0164_164,24.96,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0164.wav,wav,
noise-free-sound-0165_165,33.837375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0165.wav,wav,
noise-free-sound-0166_166,0.768,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0166.wav,wav,
noise-free-sound-0167_167,2.005375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0167.wav,wav,
noise-free-sound-0168_168,1.344,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0168.wav,wav,
noise-free-sound-0169_169,2.304,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0169.wav,wav,
noise-free-sound-0170_170,5.2906875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0170.wav,wav,
noise-free-sound-0171_171,4.6293125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0171.wav,wav,
noise-free-sound-0172_172,49.5543125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0172.wav,wav,
noise-free-sound-0173_173,106.802,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0173.wav,wav,
noise-free-sound-0174_174,9.109125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0174.wav,wav,
noise-free-sound-0175_175,4.7188125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0175.wav,wav,
noise-free-sound-0176_176,2.9843125,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0176.wav,wav,
noise-free-sound-0177_177,106.737875,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0177.wav,wav,
noise-free-sound-0178_178,4.884625,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0178.wav,wav,
noise-free-sound-0179_179,2.813,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0179.wav,wav,
noise-free-sound-0180_180,15.5155,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0180.wav,wav,
noise-free-sound-0181_181,4.7964375,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0181.wav,wav,
noise-free-sound-0182_182,2.25225,/courses/CS6140.202630/students/cong.m/LibriParty/dataset/noise/pointsource_noises/noise-free-sound-0182.wav,wav,
